id,pdga_number,first_name,last_name,city,state,country,nationality,member_since
630,49643,Garry,Patton,Marquette Heights,IL,US,NULL,2011
631,49649,Donovan,Smith,Bakersfield,CA,US,US,2011
632,49717,Ben,Creger,Columbus,OH,US,NULL,2011
633,49865,Maximus,Meyer,Sparks,NV,US,NULL,2011
634,49885,G.T.,Hancock,Bedford,TX,US,NULL,2011
635,49975,Jesse,Ginthum,Little Chute,WI,US,NULL,2011
636,50024,Calvin,Caldwell,Cincinnati,OH,US,NULL,2010
637,50038,Ryan,Anderson,Ottumwa,IA,US,NULL,2011
638,50079,Brent,Spradlin,Bakersfield,CA,US,NULL,2011
639,50200,Mikey,Harrod,Hermitage,TN,US,NULL,2011
640,50383,Luis,Nava,Beaverton,OR,US,NULL,2011
641,50464,Peter,Bures,Prairie Village,KS,US,NULL,2011
642,50920,Kyle,Moriarty,Holden,MA,US,NULL,2011
643,51409,Christopher,Barber,Belton,TX,US,NULL,2012
644,51499,Rod,Reiter,Denver,IA,US,NULL,2012
645,51603,Wyatt,Merritt,North Las Vegas,NV,US,US,2012
646,51685,Randon,Latta,Venice,FL,US,NULL,2012
647,51705,Vincent,Garver Stewart Pedersen,Kokkedal,,DK,DK,2012
648,51740,Austin,Spradlin,Bakersfield,CA,US,NULL,2012
649,51748,Justin,Done,Belleville,IL,US,NULL,2012
650,51987,Scott,Turner,Austin,TX,US,NULL,2012
651,52115,Collin,Bailey,Austin,MN,US,NULL,2012
652,52376,Jeremiah,Van Til,Tomball,TX,US,NULL,2012
653,52403,Andrew,Nava,Beaverton,OR,US,PE,2012
654,52487,Tomi,Kleemola,Tampere,,FI,NULL,2012
655,52488,Niko,Rättyä,Kuopio,,FI,FI,2012
656,52595,Charlie,"O'Brien",Newcastle Upon Tyne,,GB,GB,2012
658,52776,Jake,LaPutka,Tooele,UT,US,NULL,2012
659,52785,Jacob,Blair,Scotts Valley,CA,US,NULL,2012
660,52973,Toni-Mikael,Syrjänen,Espoo,,FI,NULL,2012
661,52974,Viljami,Männikkö,Valkeakoski,,FI,FI,2012
662,53341,Kevin,Kohltrain,Worcester,MA,US,NULL,2012
663,53374,Daniel,Maier,Faistenau,,AT,NULL,2012
664,53538,Ville,Ahokas,Turku,,FI,FI,2012
665,53637,Tony,Candyarms Cahill,Mahtomedi,MN,US,US,2012
666,53718,Nicholas,Ailes,Kingston,MA,US,NULL,2012
667,53888,Josh,King,Des Moines,IA,US,NULL,2012
668,53896,Jonas,Tangen Hoff,Oslo,,NO,NULL,2012
669,54046,Zach,Longeill,Orange,MA,US,NULL,2012
670,54049,Austin,Turner,Mint Hill,NC,US,NULL,2012
671,54106,Thomas,Earhart,Vernon Hills,IL,US,NULL,2012
672,54246,Colby,Andersen,Rupert,ID,US,NULL,2012
673,54301,Layne,Martin,Cicero,NY,US,NULL,2012
674,54302,Andrew,Martin,Cleveland,OH,US,NULL,2012
675,54624,Addison,Collins,Waco,TX,US,NULL,2012
676,54687,Ryan,Davie,Lancaster,PA,US,NULL,2012
677,54712,Esa,Salonen,Kuopio,,FI,NULL,2012
678,54793,Colin,Wise,Lanesville,IN,US,NULL,2012
679,55021,Brandon,Hauer,Forest Hill,MD,US,NULL,2012
680,55052,Joseph,Bruno,Robbinsville,NJ,US,NULL,2012
681,55164,Jani,Kleemola,Jyväskylä,,FI,NULL,2012
682,55183,Erik,Aalto,Rauma,,FI,NULL,2012
683,55277,Nate,Reiner,South Jordan,UT,US,NULL,2012
684,55402,Ben,Llena,Dacula,GA,US,PH,2012
685,55615,Jake,Palmer,Denver,CO,US,NULL,2012
686,55766,Ashton,Gade,Slimminge,,DK,DK,2012
687,55776,Justin,Anderson,Wilsonville,OR,US,NULL,2012
688,55870,Jermaine,Barksdale,Charlotte,NC,US,US,2012
689,55926,Jonathan,Propalis,Glen Rock,PA,US,NULL,2012
690,55953,Finlay,Buchanan-Jacobs,Mount Laurel,NJ,US,NULL,2012
691,56016,Thunder,Schultz,Baton Rouge,LA,US,NULL,2012
692,56037,Joshua,Patin,Opelousas,LA,US,NULL,2012
693,56167,Bryan,Van Fleet,Salem,OR,US,NULL,2012
694,56345,Bryson,James,Pendergrass,GA,US,US,2012
695,56485,A.J.,Herr,Tucson,AZ,US,NULL,2013
696,56486,Jeremy,Herr,Tucson,AZ,US,US,2013
697,56511,Jacob,Courtis,Buena Park,CA,US,NULL,2013
698,56544,Samuel,Henderson,Norton,MA,US,NULL,2013
699,56579,Anthony,Anselmo,Kings Mtn,NC,US,NULL,2013
700,56635,A.J.,Cruz,Olathe,KS,US,NULL,2013
701,56725,Frank,Martinez,Hawthorne,CA,US,US,2013
702,56797,Jeffrey,Hinkley,Turner,ME,US,NULL,2013
703,56886,Marshall,Blanks,Austin,TX,US,NULL,2013
704,57123,Kyle,Tiny New,Crowley,TX,US,NULL,2013
705,57280,Jasper,Heino,Turku,,FI,NULL,2013
706,57425,Sias,Elmore,San Diego,CA,US,NULL,2013
707,57537,Oddbjørn,Molvik,Volda,,NO,NULL,2013
708,57544,Zane,Letts,Fort Worth,TX,US,NULL,2013
709,57862,Jesse,Kerfeld,San Francisco,CA,US,NULL,2013
710,58007,Cody,Bradshaw,Fredericksburg,VA,US,NULL,2013
711,58026,Jacob,Cutshall,Jonesborough,TN,US,NULL,2013
712,58058,Trent,Hadaway,Arlington,TX,US,NULL,2013
